0,1.01
0.006,1.024
0.011,1.037
0.017,1.051
0.024,1.064
0.031,1.084
0.038,1.104
0.046,1.131
0.054,1.158
0.063,1.185
0.071,1.219
0.08,1.253
0.088,1.286
0.097,1.32
0.106,1.36
0.115,1.401
0.124,1.441
0.133,1.488
0.143,1.535
0.152,1.589
0.161,1.643
0.17,1.697
0.18,1.751

